Date,Adj Close,Close,High,Low,Open,Volume,Positive_Close,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,Upper_Band,Middle_Band,Lower_Band,MACD,MACD_Signal,MACD_Hist
2014-10-01 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,3.4010789937255535e-05,3.392891920418455e-05,0.00758575197889182,1.0,4.045117072210973e-05,4.234427886999151e-05,4.2059620662033594e-05,4.5933908209039206e-05,4.765146810678159e-05,5.181577750879409e-05,0.35035234541971016,4.018068742830171e-05,4.2059620662033594e-05,0.02301112973599522,0.23225486676019916,0.22802656748962352,0.5241780540055688
2014-10-02 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.005606860158311346,0.0,4.045117072210973e-05,4.2164451151542555e-05,4.151329322133249e-05,4.5860873003538896e-05,4.757279980419928e-05,5.167350900801062e-05,0.35035234541971016,3.93867177197444e-05,4.151329322133249e-05,0.02301094318575188,0.23225433543755883,0.22802558549152377,0.5241787896911461
2014-10-03 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0036279683377308707,0.0,4.045117072210973e-05,4.198462343309349e-05,4.096696578063122e-05,4.57878377980388e-05,4.744168620218536e-05,5.167350900801062e-05,0.35035234541971016,3.8474406331366704e-05,4.096696578063122e-05,0.023010906071980475,0.23225399031724805,0.22802471667498866,0.524179765231254
2014-10-04 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0036279683377308707,0.0,4.045117072210973e-05,4.198462343309349e-05,4.096696578063122e-05,4.57878377980388e-05,4.744168620218536e-05,5.167350900801062e-05,0.35035234541971016,3.8474406331366704e-05,4.096696578063122e-05,0.023010906071980475,0.23225399031724805,0.22802471667498866,0.524179765231254
2014-10-05 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0036279683377308707,0.0,4.045117072210973e-05,4.198462343309349e-05,4.096696578063122e-05,4.57878377980388e-05,4.744168620218536e-05,5.167350900801062e-05,0.35035234541971016,3.8474406331366704e-05,4.096696578063122e-05,0.023010906071980475,0.23225399031724805,0.22802471667498866,0.524179765231254
2014-10-06 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0,0.0,4.045117072210973e-05,4.0926811311759386e-05,4.042063833993012e-05,4.5714802592538493e-05,4.731057260017144e-05,5.167350900801062e-05,0.35035234541971016,3.742352159429618e-05,4.042063833993012e-05,0.023011043942309038,0.23225379501494825,0.2280239745289727,0.5241808570360222
2014-10-07 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0,0.0,4.045117072210973e-05,3.9868999190425256e-05,4.042063833993012e-05,4.56417673870384e-05,4.717945899815752e-05,5.153124050722726e-05,0.35035234541971005,3.742352159429618e-05,4.042063833993012e-05,0.023011043942309038,0.23225371931709923,0.22802336255931419,0.5241819790584846
2014-10-08 00:00:00+00:00,2.4436374277157574e-05,2.4526994342202382e-05,3.0231683206002164e-05,2.7659377136806784e-05,3.331575127605188e-05,0.01154353562005277,0.0,3.71385545015388e-05,3.817649675471075e-05,3.95465128639257e-05,4.5179209918859295e-05,4.6812340488396455e-05,5.127515710354934e-05,0.1431210718345248,3.965968030974801e-05,3.95465128639257e-05,0.023006317597401856,0.2322460686276022,0.22802102819067901,0.5241671332725182
2014-10-09 00:00:00+00:00,2.4436374277157574e-05,2.4526994342202382e-05,2.4512169123582243e-05,2.7659377136806784e-05,2.759279551707214e-05,0.0,0.0,3.382593828096792e-05,3.648399431899617e-05,3.867238738792118e-05,4.471665245068019e-05,4.6445221978635444e-05,5.101907369987137e-05,0.1431210718345248,4.105280118935233e-05,3.867238738792118e-05,0.023002655802195886,0.23224023986442593,0.22801775521970546,0.524159043225083
2014-10-10 00:00:00+00:00,3.035616981654805e-05,3.045435758312258e-05,3.0435949599543058e-05,3.360102493266888e-05,3.352014058542941e-05,0.0036279683377308707,0.0,3.171414581242083e-05,3.540502420632693e-05,3.811513249514856e-05,4.4322261203468184e-05,4.615414951826633e-05,5.080424821127618e-05,0.260035830683632,4.13063039991033e-05,3.811513249514856e-05,0.023001122766720023,0.2322386851779553,0.22801476196500525,0.5241614541693425
2014-10-11 00:00:00+00:00,3.035616981654805e-05,3.045435758312258e-05,3.0435949599543058e-05,3.360102493266888e-05,3.352014058542941e-05,0.0036279683377308707,0.0,3.171414581242083e-05,3.540502420632693e-05,3.811513249514856e-05,4.4322261203468184e-05,4.615414951826633e-05,5.080424821127618e-05,0.260035830683632,4.13063039991033e-05,3.811513249514856e-05,0.023001122766720023,0.2322386851779553,0.22801476196500525,0.5241614541693425
2014-10-12 00:00:00+00:00,3.035616981654805e-05,3.045435758312258e-05,3.0435949599543058e-05,3.360102493266888e-05,3.352014058542941e-05,0.0036279683377308707,0.0,3.171414581242083e-05,3.540502420632693e-05,3.811513249514856e-05,4.4322261203468184e-05,4.615414951826633e-05,5.080424821127618e-05,0.260035830683632,4.13063039991033e-05,3.811513249514856e-05,0.023001122766720023,0.2322386851779553,0.22801476196500525,0.5241614541693425
2014-10-13 00:00:00+00:00,3.974629608738208e-05,3.985636810176961e-05,3.9832277120124246e-05,4.302569367730267e-05,4.292212227867455e-05,0.013522427440633245,0.0,3.150710543830043e-05,3.5299241853601005e-05,3.778187171561112e-05,4.416158340136433e-05,4.598370164714949e-05,5.076156762269074e-05,0.40021444425380215,4.0844019806643634e-05,3.778187171561112e-05,0.02300098114107218,0.23224212662009208,0.22801319718815818,0.5241737665759063
2014-10-14 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0016490765171503956,0.0,3.150710543830043e-05,3.5299241853601005e-05,3.7017012905908846e-05,4.402525095943013e-05,4.598239063836608e-05,5.072600052945361e-05,0.4132510650596313,3.868914070067646e-05,3.7017012905908846e-05,0.02300203742866534,0.23224551254850098,0.22801276180769794,0.524183501124787
2014-10-15 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.0,0.0,3.481972165887137e-05,3.5299241853601005e-05,3.7017012905908846e-05,4.3888918517495824e-05,4.5981079629582556e-05,5.0690433436216325e-05,0.4132510650596313,3.868914070067646e-05,3.7017012905908846e-05,0.02300203742866534,0.23224833704526932,0.2280130945676456,0.5241901219183672
2014-10-16 00:00:00+00:00,3.260164876812315e-05,3.270266524477844e-05,3.268289828291791e-05,3.4010789937255535e-05,3.392891920418455e-05,0.013522427440633245,1.0,3.647602976915683e-05,3.445299063574371e-05,3.648707467971172e-05,4.393760880033073e-05,4.587487755068929e-05,5.0462803758262074e-05,0.31025694015328353,3.85056748832295e-05,3.648707467971172e-05,0.023001115634816546,0.2322468547051996,0.22801300334240118,0.5241864674843486
2014-10-17 00:00:00+00:00,3.260164876812315e-05,3.270266524477844e-05,3.268289828291791e-05,3.585475086768071e-05,3.576844135405195e-05,0.0,0.0,3.693151412741835e-05,3.360673941788642e-05,3.595713645351454e-05,4.3640598118788475e-05,4.576998648057933e-05,5.0199606859235944e-05,0.31025694015328353,3.824916612011267e-05,3.595713645351454e-05,0.02300028607626572,0.23224584973627443,0.22801268803639346,0.5241845360764131
2014-10-18 00:00:00+00:00,3.260164876812315e-05,3.270266524477844e-05,3.268289828291791e-05,3.585475086768071e-05,3.576844135405195e-05,0.0,0.0,3.693151412741835e-05,3.360673941788642e-05,3.595713645351454e-05,4.3640598118788475e-05,4.576998648057933e-05,5.0199606859235944e-05,0.31025694015328353,3.824916612011267e-05,3.595713645351454e-05,0.02300028607626572,0.23224584973627443,0.22801268803639346,0.5241845360764131
2014-10-19 00:00:00+00:00,3.260164876812315e-05,3.270266524477844e-05,3.268289828291791e-05,3.585475086768071e-05,3.576844135405195e-05,0.0,0.0,3.693151412741835e-05,3.360673941788642e-05,3.595713645351454e-05,4.3640598118788475e-05,4.576998648057933e-05,5.0199606859235944e-05,0.31025694015328353,3.824916612011267e-05,3.595713645351454e-05,0.02300028607626572,0.23224584973627443,0.22801268803639346,0.5241845360764131
2014-10-20 00:00:00+00:00,3.056030259709832e-05,3.065874751913443e-05,3.0640215993084005e-05,3.380590743496222e-05,3.372452989480699e-05,0.0016490765171503956,0.0,3.506816936368201e-05,3.254892539556481e-05,3.486448059031067e-05,4.329489715441137e-05,4.563887264294198e-05,4.992218309734782e-05,0.2865144934888274,3.658311816450108e-05,3.486448059031067e-05,0.023000011605539435,0.2322442715335315,0.22801205524324203,0.5241817995756103
2014-10-21 00:00:00+00:00,3.056030259709832e-05,3.065874751913443e-05,3.0640215993084005e-05,3.380590743496222e-05,3.372452989480699e-05,0.0,0.0,3.2997784225825144e-05,3.1491111373243175e-05,3.377182472710669e-05,4.282990497521359e-05,4.5452691017059353e-05,4.96447593354598e-05,0.2865144934888274,3.4539042513589263e-05,3.377182472710669e-05,0.023000214490932855,0.23224322089637708,0.22801129567103515,0.5241807068353403
2014-10-22 00:00:00+00:00,4.0766959990133416e-05,4.087833614735447e-05,4.085362744225357e-05,4.4050124598554605e-05,4.394408719103171e-05,0.005606860158311346,0.0,3.2997784225825144e-05,3.318361380895773e-05,3.377182472710669e-05,4.2732524409543835e-05,4.539762322881407e-05,4.9438469887880785e-05,0.4380850282238945,3.4539042513589263e-05,3.377182472710669e-05,0.023000214490932855,0.2322473890430912,0.22801169306876196,0.5241906790474923
2014-10-23 00:00:00+00:00,3.260164876812315e-05,3.270266524477844e-05,3.268289828291791e-05,3.585475086768071e-05,3.576844135405195e-05,0.0016490765171503956,0.0,3.2997784225825144e-05,3.4029865026815134e-05,3.333476198910451e-05,4.244038271253463e-05,4.516161855669035e-05,4.91752729888546e-05,0.33921519162186364,3.414088617031792e-05,3.333476198910451e-05,0.022999765951718525,0.23224697022365912,0.2280119099979909,0.5241891235445402
2014-10-24 00:00:00+00:00,3.6888455525200896e-05,3.699489063207825e-05,3.6972529256126634e-05,4.0157320235410945e-05,4.006065358191937e-05,0.005606860158311346,0.0,3.386734561165809e-05,3.4706865620903315e-05,3.312715709037319e-05,4.25888882720578e-05,4.498068167281197e-05,4.894195248905469e-05,0.39248841531568834,3.379762979878725e-05,3.312715709037319e-05,0.022999747526369716,0.23224881043997936,0.2280125272684419,0.5241925741852899
